title,img_url
"Brown bear, brown bear, what do you see? by Bill Martin","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
You have to stop this by Pseudonymous Bosch,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"The eyes of darkness by Dean Koontz, Dean Koontz, Tanya Eby",//covers.openlibrary.org/w/id/9326085-M.jpg
"The eyes of darkness by Dean Koontz, Dean Koontz, Tanya Eby",//covers.openlibrary.org/w/id/9326085-M.jpg
The Shining by Stephen King,//covers.openlibrary.org/w/id/7013717-M.jpg
IT by Stephen King,//covers.openlibrary.org/w/id/8569284-M.jpg
The bazaar of bad dreams by Stephen King,//covers.openlibrary.org/w/id/8362335-M.jpg
Red Storm Rising by Tom Clancy,//covers.openlibrary.org/w/id/258361-M.jpg
Misery by Stephen King,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The Bachman Books by Stephen King,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Executive Orders by Tom Clancy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Cell by Stephen King,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The bear and the dragon by Tom Clancy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Just After Sunset by Stephen King,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Black wind by Clive Cussler,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
The Waste Lands by Stephen King,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Wolves of the Calla by Stephen King,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Debt of Honor by Tom Clancy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Rainbow Six by Tom Clancy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
Manual of pediatric physical diagnosis by Lewis A. Barness,//covers.openlibrary.org/w/id/4406759-M.jpg
"World politics by Bruce M. Russett, Bruce Russett, Harvey Starr, David Kinsella, David Tatom",//covers.openlibrary.org/w/id/364766-M.jpg
"Statistics by Richard Arnold Johnson, Richard A. Johnson, Gouri K. Bhattacharyya",//covers.openlibrary.org/w/id/304143-M.jpg
Elementary statistics by Ron Larson,//covers.openlibrary.org/w/id/80862-M.jpg
Beginning algebra by Alfonse Gobran,//covers.openlibrary.org/w/id/10262772-M.jpg
After the fact by James West Davidson,//covers.openlibrary.org/w/id/3970958-M.jpg
Educational psychology by Jeanne Ellis Ormrod,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"Textbook of organic medicinal and pharmaceutical chemistry by Charles Owens Wilson, Ole Gisvold","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"Western Civilization by Margaret C. Jacob, Marvin Perry","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
