image_url,store,product,price,likes,comments
https://static.slickdealscdn.com/images/avatar/sd/redesign/Deal-Tag.png,,Lenovo Chromebook Duet $230,$230,0,3
https://static.slickdealscdn.com/attachment/2/3/9/1/6/7/6/200x200/9872569.thumb,Amazon,Amazon.com: 3D Solutech - Red PLA 1 kg $14.99,$14.99,0,7
https://static.slickdealscdn.com/attachment/1/2/9/7/7/7/5/200x200/9871786.thumb,,"Samsung 12.2"" Touchscreen 2-in-1 Chromebook - Intel Celeron - 1920 x 1200p - Digital Pen & Bonus Pouch $369.99",$369.99,2,7
https://static.slickdealscdn.com/attachment/2/7/3/5/3/5/1/3/200x200/9871183.thumb,Newegg,Seagate Exos 16TB Enterprise HDD for $325+F/S,$325,4,3
https://static.slickdealscdn.com/attachment/3/5/9/4/0/2/8/200x200/9869956.thumb,Amazon,Vetroo V5 CPU Air Cooler w/ RGB Fan,$24.20,54,79
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9871063.thumb,Newegg,TP-Link 5 Port Gigabit PoE Switch | 4 Port PoE 56W | 802.3af Compliant | Shielded Ports | Traffic Optimization | Plug and Play | (TL-SG1005P) $48 + FS,$48,0,0
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9870841.thumb,Newegg,Nixeus REVEL FIT Gaming Mouse w/PMW3360 Sensor (Rubberized Black) $10,$10,0,0
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9870808.thumb,Newegg,550W Antec NeoECO Classic NE550C V2 80 PLUS Bronze Certified Power Supply $25AR @Newegg,$25,0,1
https://static.slickdealscdn.com/attachment/2/1/8/7/2/4/0/200x200/9868768.thumb,Amazon,Logitech MX Master 2S Wireless Mouse $58.99,$58.99,39,35
https://static.slickdealscdn.com/attachment/2/7/1/5/6/3/0/1/200x200/9868891.thumb,Newegg,"ASUS TUF Gaming A15 - 15.6"" Ryzen 5 4600H Gaming Laptop - Newegg.com - $819.00",$819,17,25
https://static.slickdealscdn.com/attachment/3/8/8/7/1/200x200/9868150.thumb,Amazon,2x Microsoft Surface Mobile Mouse - Ice Blue - $30 & More Select Surface Accessories  $40 off two (2),,37,27
https://static.slickdealscdn.com/attachment/1/7/9/7/4/7/5/200x200/9870151.thumb,Amazon,Mackie CR-X 8-Inch Subwoofer with Bluetooth and Desktop Control (CR8S-XBT) $170 $169.99,$169.99,1,2
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9868153.thumb,Amazon,Neewer 2-Pack 5600K USB Video Lights - $25.50 + FSSS,$25.49,29,28
https://static.slickdealscdn.com/attachment/2/7/1/5/6/3/0/1/200x200/9868894.thumb,Newegg,Intel Whitebook Gaming Notebook - $1199.99,"$1,199.99",7,12
https://static.slickdealscdn.com/attachment/2/0/6/3/2/9/8/200x200/9869260.thumb,,"Lenovo IdeaPad 5i 14"" Laptop Computer - Grey Intel Core i7-1165G7 Processor 2.8GHz; 16GB DDR4-3200 Onboard RAM; 512GB Solid State Drive; Intel Iris Xe Graphics $799",$799.99,4,1
https://static.slickdealscdn.com/attachment/5/5/8/2/7/0/5/200x200/9868207.thumb,,,"$1,551",16,29
https://static.slickdealscdn.com/attachment/1/6/0/6/4/1/4/200x200/9869011.thumb,,"Lenovo ThinkVision S28u-10 4k LED Monitor - 28"" 3840x2160 4K, IPS, 300 cd/m², 1000:1, 4 ms - $264.99 + $9.99 shipping $268.98",$264.99,5,5
https://static.slickdealscdn.com/attachment/2/1/3/9/5/8/8/7/200x200/9868165.thumb,Amazon,Pictek Gaming Keyboard and Mouse Combo - ＄21.59,$21.59,13,3
